"","politician","wiki_name","birthday","death_date","age","bio","military_service","personal_details"
"1","David F. Emery","David F. Emery","1948-09-01",NA,NA,"Dave EmeryHouse Republican Chief Deputy WhipIn officeJanuary 3, 1981<U+00A0><U+0096> January 3, 1983LeaderBob MichelPreceded byPosition establishedSucceeded byTom LoefflerMember of the U.S. House of Representativesfrom Maine's 1st districtIn officeJanuary 3, 1975<U+00A0><U+0096> January 3, 1983Preceded byPeter KyrosSucceeded byJohn McKernan",0,"BornDavid Farnham Emery (1948-09-01) September 1, 1948 (age<U+00A0>71)Rockland, Maine, U.S.Political partyRepublicanEducationWorcester Polytechnic Institute (BSc)"
"2","Olympia Snowe","Olympia Snowe","1947-02-21",NA,NA,"Olympia SnoweChair of the Senate Small Business CommitteeIn officeJanuary 3, 2003<U+00A0><U+0096> January 3, 2007Preceded byJohn KerrySucceeded byJohn KerryUnited States Senatorfrom MaineIn officeJanuary 3, 1995<U+00A0><U+0096> January 3, 2013Preceded byGeorge MitchellSucceeded byAngus KingFirst Lady of MaineIn roleFebruary 24, 1989<U+00A0><U+0096> January 8, 1995GovernorJohn McKernanPreceded byConstance BrennanSucceeded byMary HermanMember of the U.S. House of Representativesfrom Maine's 2nd districtIn officeJanuary 3, 1979<U+00A0><U+0096> January 3, 1995Preceded byBill CohenSucceeded byJohn BaldacciMember of the Maine Senatefrom the 12th districtIn officeJanuary 5, 1977<U+00A0><U+0096> January 3, 1979Preceded byElmer Berry[1]Succeeded byBarbara Trafton[2]",0,"BornOlympia Jean Bouchles (1947-02-21) February 21, 1947 (age<U+00A0>72)Augusta, Maine, U.S.Political partyRepublicanSpouse(s)Peter Snowe (1969<U+0096>1973)John McKernan (1989<U+0096>present)EducationUniversity of Maine (BA)SignatureWebsiteOfficial website"
"3","Frank Wheeler Mondell","Franklin Wheeler Mondell","1860-11-06"," 1939-08-06",NA,"Frank Wheeler MondellMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeMarch 4, 1899<U+00A0><U+0096> March 3, 1923Preceded byJohn E. OsborneSucceeded byCharles E. WinterIn officeMarch 4, 1895<U+00A0><U+0096> March 3, 1897Preceded byHenry A. CoffeenSucceeded byJohn E. OsborneHouse Majority LeaderIn office1919<U+0096>1923Preceded byClaude KitchinSucceeded byNicholas Longworth",0,"Born(1860-11-06)November 6, 1860St. Louis, MissouriDiedAugust 6, 1939(1939-08-06) (aged<U+00A0>78)Washington, D.C.Political partyRepublican"
"4","Charles E. Winter","Charles E. Winter","1870-09-13"," 1948-04-22",NA,"Charles E. WinterMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeMarch 4, 1923<U+00A0><U+0096> March 3, 1929Preceded byFrank W. MondellSucceeded byVincent M. Carter",0,"Born(1870-09-13)September 13, 1870Muscatine, IowaDiedApril 22, 1948(1948-04-22) (aged<U+00A0>77)Casper, WyomingPolitical partyRepublicanAlma materNebraska Wesleyan UniversityOccupationAttorneyJudgeAuthor"
"5","Vincent Carter","Vincent Carter","1891-11-06"," 1972-12-30",NA,"Vincent M. CarterMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeMarch 4, 1929<U+00A0><U+0096> January 3, 1935Preceded byCharles E. WinterSucceeded byPaul R. Greever14th Wyoming State AuditorIn office1923<U+0096>1929GovernorWilliam B. RossFrank E. LucasNellie Tayloe RossFrank C. EmersonPreceded byIshmael C. JefferisSucceeded byRoscoe Alcorn",1,"Born(1891-11-06)November 6, 1891St. Clair, PennsylvaniaDiedDecember 30, 1972(1972-12-30) (aged<U+00A0>81)Albuquerque, New MexicoPolitical partyRepublicanAlma materFordham UniversityColumbus School of LawOccupationAttorneyMilitary serviceAllegiance<U+00A0>United States of America WyomingBranch/service Marine CorpsWyoming Army National GuardRanklieutenantBattles/warsWorld War I"
"6","Paul Ranous Greever","Paul R. Greever","1891-09-28"," 1943-02-16",NA,"Paul R. GreeverMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeJanuary 3, 1935<U+00A0><U+0096> January 3, 1939Preceded byVincent M. CarterSucceeded byFrank O. Horton",0,"Born(1891-09-28)September 28, 1891Lansing, KansasDiedFebruary 16, 1943(1943-02-16) (aged<U+00A0>51)Cody, WyomingPolitical partyDemocratic"
"7","Frank O. Horton","Frank O. Horton","1882-10-18"," 1948-08-17",NA,"Frank O. HortonMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeJanuary 3, 1939<U+00A0><U+0096> January 3, 1941Preceded byPaul R. GreeverSucceeded byJohn J. McIntyreMember of the Wyoming SenateIn office1923<U+0096>1931Member of the Wyoming House of RepresentativesIn office1921<U+0096>1923",0,"Born(1882-10-18)October 18, 1882Muscatine, IowaDiedAugust 17, 1948(1948-08-17) (aged<U+00A0>65)Sheridan, WyomingPolitical partyRepublican"
"8","Frank A. Barrett","Frank A. Barrett","1892-11-10"," 1962-05-30",NA,"Frank Aloysius BarrettUnited States Senatorfrom WyomingIn officeJanuary 3, 1953<U+00A0><U+0096> January 3, 1959Preceded byJoseph C. O'MahoneySucceeded byGale W. McGee21st Governor of WyomingIn officeJanuary 1, 1951<U+00A0><U+0096> January 3, 1953Preceded byArthur G. CraneSucceeded byClifford Joy RogersMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeJanuary 3, 1943<U+00A0><U+0096> December 31, 1950Preceded byJohn J. McIntyreSucceeded byWilliam HarrisonMember of the Wyoming SenateIn office1933-1935",1,"Born(1892-11-10)November 10, 1892Omaha, NebraskaDiedMay 30, 1962(1962-05-30) (aged<U+00A0>69)Cheyenne, WyomingPolitical partyRepublicanSpouse(s)Alice Catherine Donoghue (first wife)Augusta K. Hogan (second wife)ChildrenJames Emmett Barrett and Francis Anthony BarrettAlma materCreighton UniversityProfessionSoldier, lawyer and politicianMilitary serviceAllegiance<U+00A0>United StatesBranch/service<U+00A0>United States ArmyYears<U+00A0>of service1917<U+0096>1919RanksergeantUnitBalloon CorpsBattles/warsWorld War I"
"9","William Henry Harrison","William H. Harrison","1773-02-09"," 1841-04-04",NA,"William Henry Harrison9th President of the United StatesIn officeMarch 4, 1841<U+00A0><U+0096> April 4, 1841Vice PresidentJohn TylerPreceded byMartin Van BurenSucceeded byJohn Tyler3rd United States Minister to Gran ColombiaIn officeMay 24, 1828<U+00A0><U+0096> September 26, 1829PresidentJohn Quincy AdamsAndrew JacksonPreceded byBeaufort Taylor WattsSucceeded byThomas Patrick MooreUnited States Senatorfrom OhioIn officeMarch 4, 1825<U+00A0><U+0096> May 20, 1828Preceded byEthan Allen BrownSucceeded byJacob BurnetMember of the U.S. House of Representativesfrom Ohio's 1st districtIn officeOctober 8, 1816<U+00A0><U+0096> March 3, 1819Preceded byJohn McLeanSucceeded byThomas R. Ross1st Governor of the Indiana TerritoryIn officeJanuary 10, 1801<U+00A0><U+0096> December 28, 1812Appointed byJohn AdamsPreceded byOffice establishedSucceeded byThomas PoseyDelegate to theU.S. House of Representativesfrom the Northwest TerritoryIn officeMarch 4, 1799<U+00A0><U+0096> May 14, 1800Preceded byConstituency establishedSucceeded byWilliam McMillan2nd Secretary of the Northwest TerritoryIn officeJune 28, 1798<U+00A0><U+0096> October 1, 1799GovernorArthur St. ClairPreceded byWinthrop SargentSucceeded byCharles Willing Byrd",1,"Born(1773-02-09)February 9, 1773Charles City County, Colony of VirginiaDiedApril 4, 1841(1841-04-04) (aged<U+00A0>68)Washington, D.C., U.S.Cause<U+00A0>of<U+00A0>deathPneumonia
[1]Resting placeHarrison Tomb State MemorialPolitical partyDemocratic-Republican (before 1828)Whig (1836<U+0096>1841)Spouse(s)Anna Symmes (m.<U+00A0>1795)Children10, including John and CarterRelativesBenjamin Harrison V (father)Benjamin Harrison (grandson)Carter Bassett Harrison (brother)Harrison familyEducationHampden<U+0096>Sydney CollegeUniversity of PennsylvaniaSignatureMilitary serviceBranch/service<U+00A0>United States Army<U+00A0><U+0095> Indiana Territory militiaYears<U+00A0>of service1791<U+0096>1798, 1811, 1812<U+0096>1814Rank Major GeneralUnitLegion of the United StatesCommandsArmy of the NorthwestBattles/warsNorthwest Indian War<U+00A0><U+0095> Siege of Fort Recovery<U+00A0><U+0095> Battle of Fallen TimbersTecumseh's War<U+00A0><U+0095> Battle of TippecanoeWar of 1812<U+00A0><U+0095> Siege of Fort Wayne<U+00A0><U+0095> Battle of the Thames"
"10","Edwin Keith Thomson","Edwin Keith Thomson","1919-02-08"," 1960-12-09",NA,"Edwin Keith ThomsonUnited States Senator from WyomingIn officeJanuary 3, 1961 (Scheduled)<U+00A0><U+0096> Died before term beganPreceded byJoseph C. O'MahoneySucceeded byJohn J. HickeyMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeJanuary 3, 1955<U+00A0><U+0096> December 9, 1960Preceded byWilliam Henry HarrisonSucceeded byWilliam Henry HarrisonMember of the Wyoming House of RepresentativesIn office1952<U+0096>1954",1,"Born(1919-02-08)February 8, 1919Newcastle, WyomingDiedDecember 9, 1960(1960-12-09) (aged<U+00A0>41)Cody, WyomingCause<U+00A0>of<U+00A0>deathHeart attackResting placeArlington National CemeteryPolitical partyRepublicanSpouse(s)Thyra ThomsonChildrenThree sonsResidenceCheyenne, WyomingAlma materUniversity of WyomingOccupationAttorney/LawmakerMilitary serviceBranch/serviceUnited States ArmyYears<U+00A0>of service1941 - 1946RankLieutenant ColonelBattles/warsWorld War II"
