"","year","State","District","Politician","Politician_Party","Politician_Vote_Share","Opp","Opp_Party","Opp_Vote_Share","Unopposed","Wiki_Missing","Close_Election","Leg_Body"
"1",1978,"Maine","1","David F. Emery","200",61.5,"John Quinn ","100",35.8,0,0,0,2
"2",1978,"Maine","2","Olympia Snowe","200",50.8,"Markham L. Gartley ","100",40.9,0,0,0,2
"3",1920,"Wyoming","at-large","Franklin Wheeler Mondell","200",61.5,"Wade H. Fowler ","100",26.5,0,0,0,2
"4",1922,"Wyoming","at-large","Charles E. Winter","200",52.6,"
Robert R. Rose ","100",46,0,0,0,2
"5",1924,"Wyoming",NA,"Charles E. Winter","200",58.7,"Theodore Wanerus ","100",38.9,0,0,0,2
"6",1926,"Wyoming",NA,"Charles E. Winter","200",60.8,"Thomas M. Fagan ","100",38.7,0,0,0,2
"7",1928,"Wyoming","at-large","Vincent Carter","200",51.7,"W. S. Kimball ","100",47.8,0,0,0,2
"8",1932,"Wyoming",NA,"Vincent Carter","200",49.7,"Paul R. Greever ","100",47.7,0,0,1,2
"9",1936,"Wyoming",NA,"Paul R. Greever","100",57.2,"Frank A. Barrett ","200",42.1,0,0,0,2
"10",1938,"Wyoming",NA,"Frank O. Horton","200",52.9,"Paul R. Greever ","100",47.1,0,0,0,2
"11",1940,"Wyoming","at-large","John J. McIntyre","100",53.4,"Frank O. Horton ","200",46.5,0,0,0,2
"12",1942,"Wyoming",NA,"Frank A. Barrett","200",50.7,"John J. McIntyre ","100",49.3,0,0,1,2
"13",1944,"Wyoming",NA,"Frank A. Barrett","200",55.7,"Charles E. Norris ","100",44.3,0,0,0,2
"14",1946,"Wyoming","at-large","Frank A. Barrett","200",56,"
John J. McIntyre ","100",44,0,0,0,2
"15",1948,"Wyoming","at-large","Frank A. Barrett","200",51.5,"L. G. Flannery ","100",48.5,0,0,0,2
"16",1950,"Wyoming",NA,"William H. Harrison","200",54.5,"John B. Clark ","100",45.5,0,0,0,2
"17",1952,"Wyoming",NA,"William H. Harrison","200",60.1,"Robert R. Rose Jr. ","100",39.9,0,0,0,2
"18",1954,"Wyoming","at-large","Edwin Keith Thomson","200",56.2,"Sam Tully ","100",43.8,0,0,0,2
"19",1956,"Wyoming","at-large","Edwin Keith Thomson","200",58.2,"Jerry A. O'Callaghan ","100",41.8,0,0,0,2
