"","year","State","Politician","Politician_Party","Politician_Vote_Share","Opp","Opp_Party","Opp_Vote_Share","Unopposed","Wiki_Missing","Close_Election","Leg_Body"
"1","1934","Wyoming","Joseph C. O'Mahoney","100",56.88,"
Vincent Carter ","200",43.12,0,0,0,1
"2","1954","Wyoming","Joseph C. O'Mahoney","100",51.6,"
William H. Harrison ","200",48.4,0,0,0,1
"3","1962","Wyoming","Milward L. Simpson","200",57.8,"John J. Hickey ","100",42.2,0,0,0,1
"4","2008","Wyoming","John Barrasso","200",73.4,"
Nick Carter ","100",26.5,0,0,0,1
"5","1918","Wyoming","Francis E. Warren,","200",57.77,"
John Eugene Osborne, ","100",42.23,0,0,0,1
"6","1922","Wyoming","John B. Kendrick","100",57.3,"
F. W. Mondell ","200",42.7,0,0,0,1
"7","1924","Wyoming","Francis E. Warren","200",55.2,"
Robert R. Rose ","100",44.8,0,0,0,1
"8","1928","Wyoming","John B. Kendrick","100",53.5,"
Charles E. Winter ","200",46.1,0,0,0,1
"9","1934","Wyoming","Joseph C. O'Mahoney","100",56.6,"
Vincent Carter ","200",43,0,0,0,1
"10","1936","Wyoming","Harry H. Schwartz","100",53.8,"Robert D. Carey ","200",45.4,0,0,0,1
"11","1940","Wyoming","Joseph C. O'Mahoney","100",58.7,"
Milward Simpson ","200",41.3,0,0,0,1
"12","1942","Wyoming","Edward V. Robertson","200",54.6,"Henry H. Schwartz ","100",45.4,0,0,0,1
"13","1946","Wyoming","Joseph C. O'Mahoney","100",56.2,"Harry B. Henderson ","200",43.8,0,0,0,1
"14","1948","Wyoming","Lester C. Hunt","100",57.1,"Edward V. Robertson ","200",42.9,0,0,0,1
"15","1952","Wyoming","Frank A. Barrett","200",51.6,"
Joseph C. O'Mahoney ","100",48.4,0,0,0,1
"16","1954","Wyoming","Joseph C. O'Mahoney","100",51.5,"
William H. Harrison ","200",48.5,0,0,0,1
"17","1958","Wyoming","Gale McGee","100",50.8,"
Frank A. Barrett ","200",49.2,0,0,1,1
"18","1960","Wyoming","Edwin Keith Thomson","200",56.4,"
Raymond B. Whitaker ","100",43.6,0,0,0,1
"19","1964","Wyoming","Gale McGee","100",54,"John S. Wold ","200",46,0,0,0,1
"20","1966","Wyoming","Clifford Hansen","200",51.8,"
Teno Roncalio ","100",48.2,0,0,0,1
"21","1970","Wyoming","Gale W. McGee","100",55.8,"John S. Wold ","200",44.2,0,0,0,1
"22","1972","Wyoming","Clifford Hansen","200",71.3,"Mike Vinich ","100",28.7,0,0,0,1
"23","1976","Wyoming","Malcolm Wallop","200",54.7,"Gale W. McGee ","100",45.4,0,0,0,1
"24","1978","Wyoming","Alan K. Simpson","200",62.2,"Raymond B. Whitaker ","100",37.8,0,0,0,1
"25","1982","Wyoming","Malcolm Wallop","200",56.7,"
Rodger McDaniel ","100",43.3,0,0,0,1
"26","1984","Wyoming","Alan K. Simpson","200",78.3,"
Victor A. Ryan ","100",21.7,0,0,0,1
"27","1988","Wyoming","Malcolm Wallop","200",50.4,"
John Vinich ","100",49.6,0,0,1,1
"28","1990","Wyoming","Alan K. Simpson","200",66.4,"
Kathy Helling ","100",33.6,0,0,0,1
"29","1994","Wyoming","Craig Thomas","200",58.9,"
Mike Sullivan ","100",39.3,0,0,0,1
"30","1996","Wyoming","Mike Enzi","200",54.1,"
Kathy Karpan ","100",42.2,0,0,0,1
"31","2000","Wyoming","Craig L. Thomas","200",73.7,"
Mel Logan ","100",4.2,0,0,0,1
"32","2006","Wyoming","Craig L. Thomas","200",69.99,"
Dale Groutage ","100",29.86,0,0,0,1
"33","2008","Wyoming","Mike Enzi","200",75.6,"
Chris Rothfuss ","100",24.3,0,0,0,1
"34","2012","Wyoming","John Barrasso","200",75.7,"
Tim Chesnut ","100",21.7,0,0,0,1
