"","politician_name","vcard","url"
"1","David F. Emery","Dave EmeryHouse Republican Chief Deputy WhipIn officeJanuary 3, 1981 – January 3, 1983LeaderBob MichelPreceded byPosition establishedSucceeded byTom LoefflerMember of the U.S. House of Representativesfrom Maine's 1st districtIn officeJanuary 3, 1975 – January 3, 1983Preceded byPeter KyrosSucceeded byJohn McKernan
Personal detailsBornDavid Farnham Emery (1948-09-01) September 1, 1948 (age 71)Rockland, Maine, U.S.Political partyRepublicanEducationWorcester Polytechnic Institute (BSc)","https://en.wikipedia.org/wiki/David_F._Emery"
"2","Olympia Snowe","Olympia SnoweChair of the Senate Small Business CommitteeIn officeJanuary 3, 2003 – January 3, 2007Preceded byJohn KerrySucceeded byJohn KerryUnited States Senatorfrom MaineIn officeJanuary 3, 1995 – January 3, 2013Preceded byGeorge MitchellSucceeded byAngus KingFirst Lady of MaineIn roleFebruary 24, 1989 – January 8, 1995GovernorJohn McKernanPreceded byConstance BrennanSucceeded byMary HermanMember of the U.S. House of Representativesfrom Maine's 2nd districtIn officeJanuary 3, 1979 – January 3, 1995Preceded byBill CohenSucceeded byJohn BaldacciMember of the Maine Senatefrom the 12th districtIn officeJanuary 5, 1977 – January 3, 1979Preceded byElmer Berry[1]Succeeded byBarbara Trafton[2]
Personal detailsBornOlympia Jean Bouchles (1947-02-21) February 21, 1947 (age 72)Augusta, Maine, U.S.Political partyRepublicanSpouse(s)Peter Snowe (1969–1973)John McKernan (1989–present)EducationUniversity of Maine (BA)SignatureWebsiteOfficial website","https://en.wikipedia.org/wiki/Olympia_Snowe"
"3","Frank Wheeler Mondell","Frank Wheeler MondellMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeMarch 4, 1899 – March 3, 1923Preceded byJohn E. OsborneSucceeded byCharles E. WinterIn officeMarch 4, 1895 – March 3, 1897Preceded byHenry A. CoffeenSucceeded byJohn E. OsborneHouse Majority LeaderIn office1919–1923Preceded byClaude KitchinSucceeded byNicholas Longworth
Personal detailsBorn(1860-11-06)November 6, 1860St. Louis, MissouriDiedAugust 6, 1939(1939-08-06) (aged 78)Washington, D.C.Political partyRepublican","https://en.wikipedia.org/wiki/Franklin_Wheeler_Mondell"
"4","Charles E. Winter","Charles E. WinterMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeMarch 4, 1923 – March 3, 1929Preceded byFrank W. MondellSucceeded byVincent M. Carter
Personal detailsBorn(1870-09-13)September 13, 1870Muscatine, IowaDiedApril 22, 1948(1948-04-22) (aged 77)Casper, WyomingPolitical partyRepublicanAlma materNebraska Wesleyan UniversityOccupationAttorneyJudgeAuthor","https://en.wikipedia.org/wiki/Charles_E._Winter"
"5","Vincent Carter","Vincent M. CarterMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeMarch 4, 1929 – January 3, 1935Preceded byCharles E. WinterSucceeded byPaul R. Greever14th Wyoming State AuditorIn office1923–1929GovernorWilliam B. RossFrank E. LucasNellie Tayloe RossFrank C. EmersonPreceded byIshmael C. JefferisSucceeded byRoscoe Alcorn
Personal detailsBorn(1891-11-06)November 6, 1891St. Clair, PennsylvaniaDiedDecember 30, 1972(1972-12-30) (aged 81)Albuquerque, New MexicoPolitical partyRepublicanAlma materFordham UniversityColumbus School of LawOccupationAttorneyMilitary serviceAllegiance United States of America WyomingBranch/service Marine CorpsWyoming Army National GuardRanklieutenantBattles/warsWorld War I","https://en.wikipedia.org/wiki/Vincent_Carter"
"6","Paul Ranous Greever","Paul R. GreeverMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeJanuary 3, 1935 – January 3, 1939Preceded byVincent M. CarterSucceeded byFrank O. Horton
Personal detailsBorn(1891-09-28)September 28, 1891Lansing, KansasDiedFebruary 16, 1943(1943-02-16) (aged 51)Cody, WyomingPolitical partyDemocratic","https://en.wikipedia.org/wiki/Paul_R._Greever"
"7","Frank O. Horton","Frank O. HortonMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeJanuary 3, 1939 – January 3, 1941Preceded byPaul R. GreeverSucceeded byJohn J. McIntyreMember of the Wyoming SenateIn office1923–1931Member of the Wyoming House of RepresentativesIn office1921–1923
Personal detailsBorn(1882-10-18)October 18, 1882Muscatine, IowaDiedAugust 17, 1948(1948-08-17) (aged 65)Sheridan, WyomingPolitical partyRepublican","https://en.wikipedia.org/wiki/Frank_O._Horton"
"8","Frank A. Barrett","Frank Aloysius BarrettUnited States Senatorfrom WyomingIn officeJanuary 3, 1953 – January 3, 1959Preceded byJoseph C. O'MahoneySucceeded byGale W. McGee21st Governor of WyomingIn officeJanuary 1, 1951 – January 3, 1953Preceded byArthur G. CraneSucceeded byClifford Joy RogersMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeJanuary 3, 1943 – December 31, 1950Preceded byJohn J. McIntyreSucceeded byWilliam HarrisonMember of the Wyoming SenateIn office1933-1935
Personal detailsBorn(1892-11-10)November 10, 1892Omaha, NebraskaDiedMay 30, 1962(1962-05-30) (aged 69)Cheyenne, WyomingPolitical partyRepublicanSpouse(s)Alice Catherine Donoghue (first wife)Augusta K. Hogan (second wife)ChildrenJames Emmett Barrett and Francis Anthony BarrettAlma materCreighton UniversityProfessionSoldier, lawyer and politicianMilitary serviceAllegiance United StatesBranch/service United States ArmyYears of service1917–1919RanksergeantUnitBalloon CorpsBattles/warsWorld War I","https://en.wikipedia.org/wiki/Frank_A._Barrett"
"9","William Henry Harrison","William Henry Harrison9th President of the United StatesIn officeMarch 4, 1841 – April 4, 1841Vice PresidentJohn TylerPreceded byMartin Van BurenSucceeded byJohn Tyler3rd United States Minister to Gran ColombiaIn officeMay 24, 1828 – September 26, 1829PresidentJohn Quincy AdamsAndrew JacksonPreceded byBeaufort Taylor WattsSucceeded byThomas Patrick MooreUnited States Senatorfrom OhioIn officeMarch 4, 1825 – May 20, 1828Preceded byEthan Allen BrownSucceeded byJacob BurnetMember of the U.S. House of Representativesfrom Ohio's 1st districtIn officeOctober 8, 1816 – March 3, 1819Preceded byJohn McLeanSucceeded byThomas R. Ross1st Governor of the Indiana TerritoryIn officeJanuary 10, 1801 – December 28, 1812Appointed byJohn AdamsPreceded byOffice establishedSucceeded byThomas PoseyDelegate to theU.S. House of Representativesfrom the Northwest TerritoryIn officeMarch 4, 1799 – May 14, 1800Preceded byConstituency establishedSucceeded byWilliam McMillan2nd Secretary of the Northwest TerritoryIn officeJune 28, 1798 – October 1, 1799GovernorArthur St. ClairPreceded byWinthrop SargentSucceeded byCharles Willing Byrd
Personal detailsBorn(1773-02-09)February 9, 1773Charles City County, Colony of VirginiaDiedApril 4, 1841(1841-04-04) (aged 68)Washington, D.C., U.S.Cause of deathPneumonia
[1]Resting placeHarrison Tomb State MemorialPolitical partyDemocratic-Republican (before 1828)Whig (1836–1841)Spouse(s)Anna Symmes (m. 1795)Children10, including John and CarterRelativesBenjamin Harrison V (father)Benjamin Harrison (grandson)Carter Bassett Harrison (brother)Harrison familyEducationHampden–Sydney CollegeUniversity of PennsylvaniaSignatureMilitary serviceBranch/service United States Army • Indiana Territory militiaYears of service1791–1798, 1811, 1812–1814Rank Major GeneralUnitLegion of the United StatesCommandsArmy of the NorthwestBattles/warsNorthwest Indian War • Siege of Fort Recovery • Battle of Fallen TimbersTecumseh's War • Battle of TippecanoeWar of 1812 • Siege of Fort Wayne • Battle of the Thames","https://en.wikipedia.org/wiki/William_H._Harrison"
"10","Edwin Keith Thomson","Edwin Keith ThomsonUnited States Senator from WyomingIn officeJanuary 3, 1961 (Scheduled) – Died before term beganPreceded byJoseph C. O'MahoneySucceeded byJohn J. HickeyMember of the U.S. House of Representativesfrom Wyoming's At-large districtIn officeJanuary 3, 1955 – December 9, 1960Preceded byWilliam Henry HarrisonSucceeded byWilliam Henry HarrisonMember of the Wyoming House of RepresentativesIn office1952–1954
Personal detailsBorn(1919-02-08)February 8, 1919Newcastle, WyomingDiedDecember 9, 1960(1960-12-09) (aged 41)Cody, WyomingCause of deathHeart attackResting placeArlington National CemeteryPolitical partyRepublicanSpouse(s)Thyra ThomsonChildrenThree sonsResidenceCheyenne, WyomingAlma materUniversity of WyomingOccupationAttorney/LawmakerMilitary serviceBranch/serviceUnited States ArmyYears of service1941 - 1946RankLieutenant ColonelBattles/warsWorld War II","https://en.wikipedia.org/wiki/Edwin_Keith_Thomson"
